trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
294,False,"{'a': 0.5, 'e': 0.05261529589251448}",30,23,12.17079981701632,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.05208914293358933}",30,21,7.122545990146483,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.05156825150425344}",20,14,10.505535778744,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.0510525689892109}",25,15,8.150750835462803,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.050542043299318794}",20,8,23.03804319055842,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.050036622866325604}",20,7,22.18218734440879,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.04953625663766235}",35,19,24.180123094670943,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.04904089407128572}",25,0,40.040671600152336,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.04855048513057287}",30,17,29.262687974568824,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.04806498027926714}",20,5,29.399278336136486,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.047584330476474465}",30,16,26.123698900574787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.04710848717170972}",20,12,13.225191678348894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.04663740229999262}",25,9,23.930331359008978,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.046171028276992696}",25,11,25.246010714317446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.045709317994222766}",30,12,12.831786895015906,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.04525222481428054}",30,13,28.77329384969594,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.04479970256613774}",25,11,-12.177182662648601,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
311,False,"{'a': 0.5, 'e': 0.044351705540476356}",35,19,32.00955522417055,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.043908188485071595}",20,13,2.952861625011095,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.04346910660022087}",25,19,12.542146164482547,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.04303441553421867}",25,14,8.607139334541259,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.04260407137887648}",20,13,-27.448393093536538,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
316,False,"{'a': 0.5, 'e': 0.04217803066508771}",25,11,26.02342063336826,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.04175625035843684}",25,10,20.06198011562383,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.041338687854852466}",20,11,14.99874092161484,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.040925300976303945}",25,13,24.862950790558145,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.0405160479665409}",25,7,33.82208347490025,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
