trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
277,False,"{'a': 0.05, 'e': 0.06241855477982408}",20,10,-21.62637689253174,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
278,False,"{'a': 0.05, 'e': 0.06179436923202584}",35,21,21.491967499445593,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.05, 'e': 0.06117642553970558}",20,16,7.218171372849783,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.05, 'e': 0.06056466128430853}",30,19,20.62653044822455,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.05, 'e': 0.05995901467146544}",20,11,18.14225481277508,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.05, 'e': 0.059359424524750785}",20,12,18.024636598553823,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.05, 'e': 0.05876583027950327}",25,8,23.468902149497115,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.05, 'e': 0.05817817197670824}",35,18,31.70424422066315,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.05, 'e': 0.05759639025694116}",20,13,13.961232614990731,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.05, 'e': 0.057020426354371746}",20,6,26.53498239812801,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.05, 'e': 0.05645022209082803}",20,12,13.212339519054346,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.05, 'e': 0.05588571986991975}",25,1,42.177844931122664,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.05, 'e': 0.05532686267122055}",20,2,20.13006599551636,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.05, 'e': 0.05477359404450834}",20,6,19.908683829078445,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
