trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.6, 'e': 0.4396044438631744}",20,0,-70.67624116169063,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
119,False,"{'a': 0.6, 'e': 0.43652721275613215}",20,7,-108.5565925013076,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 2}",1
120,False,"{'a': 0.6, 'e': 0.4334715222668392}",20,0,-46.51843170261545,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.6, 'e': 0.43043722161097137}",20,0,0.03158419977897875,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.6, 'e': 0.42742416105969455}",25,0,-15.17886405493025,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
123,False,"{'a': 0.6, 'e': 0.42443219193227666}",30,0,-119.48675908566773,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",1
124,False,"{'a': 0.6, 'e': 0.4214611665887507}",25,0,-28.7399092374808,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.6, 'e': 0.4185109384226295}",20,3,20.37239742851719,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.6, 'e': 0.41558136185367106}",20,8,-0.40129938166255963,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.6, 'e': 0.41267229232069536}",20,0,-15.286403856557731,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
128,False,"{'a': 0.6, 'e': 0.4097835862744505}",20,7,4.455149151252624,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.40691510117052937}",30,23,13.80045020382154,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.6, 'e': 0.40406669546233565}",20,10,5.14999667445567,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.6, 'e': 0.4012382285940993}",25,9,7.221351395981614,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.6, 'e': 0.3984295609939406}",20,7,2.1208250160818785,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 0.395640554066983}",20,0,-110.92711644285727,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
134,False,"{'a': 0.6, 'e': 0.39287107018851414}",20,0,-23.524593660581633,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
135,False,"{'a': 0.6, 'e': 0.39012097269719453}",25,0,-28.078024493003866,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
136,False,"{'a': 0.6, 'e': 0.3873901258883142}",20,11,-8.575316602534622,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.6, 'e': 0.38467839500709594}",25,0,-46.07390354964494,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
138,False,"{'a': 0.6, 'e': 0.3819856462420463}",20,15,8.407814430677227,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.6, 'e': 0.37931174671835194}",25,14,2.5461395890431033,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.6, 'e': 0.3766565644913235}",25,0,-38.63541412934903,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
141,False,"{'a': 0.6, 'e': 0.37401996853988423}",35,17,10.573009905448075,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.6, 'e': 0.371401828760105}",20,0,1.41617361634521,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.6, 'e': 0.3688020159587843}",25,0,-47.5497327450539,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
144,False,"{'a': 0.6, 'e': 0.3662204018470728}",20,16,7.506200259093422,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.6, 'e': 0.3636568590341433}",20,0,-53.37986886224807,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
146,False,"{'a': 0.6, 'e': 0.3611112610209043}",30,9,-2.5370705752185083,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.6, 'e': 0.35858348219375796}",20,0,-76.77064595912731,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
148,False,"{'a': 0.6, 'e': 0.35607339781840164}",20,10,-13.48320406693054,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
149,False,"{'a': 0.6, 'e': 0.3535808840336728}",25,1,-22.46955447516327,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 0}",1
150,False,"{'a': 0.6, 'e': 0.3511058178454371}",20,0,-50.079183324965314,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
151,False,"{'a': 0.6, 'e': 0.34864807712051904}",20,12,4.78049555257909,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.6, 'e': 0.34620754058067543}",30,13,7.706318311455869,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.6, 'e': 0.3437840877966107}",20,0,12.68663119916043,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.3413775991820344}",30,16,3.6583220181596574,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.6, 'e': 0.33898795598776016}",25,7,-3.3609552237547433,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.6, 'e': 0.3366150402958458}",30,15,-5.797986968912575,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.3342587350137749}",30,3,-22.291183802338406,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 0}",1
